proof_order_index,module,target,input_order,semantic_family,proof_tier,proof_tier_reason,generated_target_dependencies,cycle_or_unresolved_dependencies,bottom_up_rationale
1,slice,core::slice::ChunksExact::remainder,1,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
2,slice,core::slice::ChunksExactMut::into_remainder,2,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
3,slice,core::slice::Iter::as_slice,3,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
4,slice,core::slice::IterMut::as_slice,4,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
5,slice,core::slice::RChunksExact::remainder,6,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
6,slice,core::slice::RChunksExactMut::into_remainder,7,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
7,slice,core::slice::array_windows,10,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
8,slice,core::slice::chunks,33,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
9,slice,core::slice::chunks_exact,34,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
10,slice,core::slice::chunks_exact_mut,35,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
11,slice,core::slice::chunks_mut,36,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
12,slice,core::slice::eq_ignore_ascii_case,41,ascii-byte-sequence,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
13,slice,core::slice::escape_ascii,42,ascii-byte-sequence,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
14,slice,core::slice::from_mut,47,raw-pointer-and-provenance,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
15,slice,core::slice::from_ref,50,raw-pointer-and-provenance,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
16,slice,core::slice::get_mut,53,basic-observation-and-conversion,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
17,slice,core::slice::is_ascii,56,ascii-byte-sequence,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
18,slice,core::slice::iter_mut,60,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
19,slice,core::slice::make_ascii_lowercase,63,ascii-byte-sequence,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
20,slice,core::slice::make_ascii_uppercase,64,ascii-byte-sequence,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
21,slice,core::slice::rchunks,66,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
22,slice,core::slice::rchunks_exact,67,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
23,slice,core::slice::rchunks_exact_mut,68,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
24,slice,core::slice::rchunks_mut,69,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
25,slice,core::slice::split_first,88,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
26,slice,core::slice::split_first_mut,91,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
27,slice,core::slice::split_last,94,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
28,slice,core::slice::split_last_mut,97,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
29,slice,core::slice::split_off,99,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
30,slice,core::slice::split_off_first_mut,101,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
31,slice,core::slice::split_off_last_mut,103,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
32,slice,core::slice::split_off_mut,104,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
33,slice,core::slice::trim_ascii_end,115,ascii-byte-sequence,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
34,slice,core::slice::trim_ascii_start,116,ascii-byte-sequence,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
35,slice,core::slice::utf8_chunks,117,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
36,slice,core::slice::windows,118,iterator-splitting-and-chunking,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
37,vec,alloc::vec::Drain::as_slice,121,vec-iterator-adaptor-state,0,no generated-target callees or detected hard boundary,[],[],all generated-target dependencies ordered earlier
38,slice,core::slice::IterMut::into_slice,5,iterator-splitting-and-chunking,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
39,slice,core::slice::as_mut_ptr,19,raw-pointer-and-provenance,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
40,slice,core::slice::as_ptr,21,raw-pointer-and-provenance,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
41,slice,core::slice::as_rchunks,23,iterator-splitting-and-chunking,1,no generated-target callees; unsafe/intrinsic/MaybeUninit boundary required,[],[],all generated-target dependencies ordered earlier
42,slice,core::slice::as_rchunks_mut,24,iterator-splitting-and-chunking,1,no generated-target callees; unsafe/intrinsic/MaybeUninit boundary required,[],[],all generated-target dependencies ordered earlier
43,slice,core::slice::assume_init_drop,25,maybe-uninit-slice-storage,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
44,slice,core::slice::assume_init_mut,26,maybe-uninit-slice-storage,1,no generated-target callees; unsafe/intrinsic/MaybeUninit boundary required,[],[],all generated-target dependencies ordered earlier
45,slice,core::slice::assume_init_ref,27,maybe-uninit-slice-storage,1,no generated-target callees; unsafe/intrinsic/MaybeUninit boundary required,[],[],all generated-target dependencies ordered earlier
46,slice,core::slice::chunk_by,31,iterator-splitting-and-chunking,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
