api_path,mechanism,source_file,source_line,raw_target,confidence
alloc::boxed::Box::new,assume_specification,std_specs/smart_ptrs.rs,17,Box::<T>::new,high
alloc::boxed::Box::new_uninit,assume_specification,std_specs/alloc.rs,36,alloc::boxed::Box::<T>::new_uninit,high
alloc::boxed::box_assume_init_into_vec_unsafe,assume_specification,std_specs/alloc.rs,15,alloc::boxed::box_assume_init_into_vec_unsafe,high
alloc::collections::BTreeMap::clear,assume_specification,std_specs/btree.rs,579,"BTreeMap::<Key, Value, A>::clear",high
alloc::collections::BTreeMap::contains_key,assume_specification,std_specs/btree.rs,456,"BTreeMap::<Key, Value, A>::contains_key::<Q>",high
alloc::collections::BTreeMap::contains_key,assume_specification,std_specs/btree.rs,461,"BTreeMap::<Key, Value, A>::contains_key::<Q>",high
alloc::collections::BTreeMap::get,assume_specification,std_specs/btree.rs,504,"BTreeMap::<Key, Value, A>::get::<Q>",high
alloc::collections::BTreeMap::get,assume_specification,std_specs/btree.rs,510,"BTreeMap::<Key, Value, A>::get::<Q>",high
alloc::collections::BTreeMap::insert,assume_specification,std_specs/btree.rs,410,"BTreeMap::<
    Key,
    Value,
    A,
>::insert",high
alloc::collections::BTreeMap::is_empty,assume_specification,std_specs/btree.rs,383,"BTreeMap::<Key, Value, A>::is_empty",high
alloc::collections::BTreeMap::iter,assume_specification,std_specs/btree.rs,204,"BTreeMap::<Key, Value, A>::iter",high
alloc::collections::BTreeMap::keys,assume_specification,std_specs/btree.rs,609,"BTreeMap::<Key, Value, A>::keys",high
alloc::collections::BTreeMap::len,assume_specification,std_specs/btree.rs,376,"BTreeMap::<Key, Value, A>::len",high
alloc::collections::BTreeMap::new,assume_specification,std_specs/btree.rs,399,"BTreeMap::<Key, Value>::new",high
alloc::collections::BTreeMap::remove,assume_specification,std_specs/btree.rs,562,"BTreeMap::<Key, Value, A>::remove::<Q>",high
alloc::collections::BTreeMap::remove,assume_specification,std_specs/btree.rs,567,"BTreeMap::<Key, Value, A>::remove::<Q>",high
alloc::collections::BTreeMap::values,assume_specification,std_specs/btree.rs,641,"BTreeMap::<Key, Value, A>::values",high
alloc::collections::BTreeSet::clear,assume_specification,std_specs/btree.rs,905,"BTreeSet::<Key, A>::clear",high
