target,semantic_family,direct_shared_helpers,reachable_shared_helpers,audited_shared_helpers,source-backed,law-constrained,irreducible-boundary-abstraction,catalog_shared_helpers_note
core::slice::ChunksExact::remainder,iterator-splitting-and-chunking,slice_iterator_view,slice_iterator_view,slice_iterator_view,,slice_iterator_view,,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers"
core::slice::ChunksExactMut::into_remainder,iterator-splitting-and-chunking,slice_iterator_view,slice_iterator_view,slice_iterator_view,,slice_iterator_view,,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers"
core::slice::Iter::as_slice,iterator-splitting-and-chunking,slice_iterator_view,slice_iterator_view,slice_iterator_view,,slice_iterator_view,,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers"
core::slice::IterMut::as_slice,iterator-splitting-and-chunking,slice_iterator_view,slice_iterator_view,slice_iterator_view,,slice_iterator_view,,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers"
core::slice::IterMut::into_slice,iterator-splitting-and-chunking,slice_iterator_view,slice_iterator_view,slice_iterator_view,,slice_iterator_view,,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers"
core::slice::RChunksExact::remainder,iterator-splitting-and-chunking,slice_iterator_view,slice_iterator_view,slice_iterator_view,,slice_iterator_view,,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers"
core::slice::RChunksExactMut::into_remainder,iterator-splitting-and-chunking,slice_iterator_view,slice_iterator_view,slice_iterator_view,,slice_iterator_view,,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers"
core::slice::align_to,raw-pointer-and-provenance,slice_align_to_domain;slice_align_to_result,slice_align_to_domain;slice_align_to_result;slice_aligned_middle,slice_align_to_domain;slice_aligned_middle,,,slice_align_to_domain;slice_aligned_middle,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers"
core::slice::align_to_mut,raw-pointer-and-provenance,slice_align_to_domain;slice_align_to_mut_result,slice_align_to_domain;slice_align_to_mut_result;slice_align_to_result;slice_aligned_middle,slice_align_to_domain;slice_aligned_middle,,,slice_align_to_domain;slice_aligned_middle,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers"
core::slice::array_windows,iterator-splitting-and-chunking,slice_iterator_view,slice_iterator_view,slice_iterator_view,,slice_iterator_view,,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::as_array,views-and-fixed-subranges,array_ref_view,array_ref_view,array_ref_view,array_ref_view,,,Seq fixed-size array/chunk/subrange view helpers
core::slice::as_chunks,iterator-splitting-and-chunking,slice_array_chunks_partition,array_value_view;flatten_array_chunks;slice_array_chunks_partition,array_value_view;flatten_array_chunks,array_value_view;flatten_array_chunks,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::as_chunks_mut,iterator-splitting-and-chunking,flatten_array_chunks;slice_array_chunks_partition,array_value_view;flatten_array_chunks;slice_array_chunks_partition,array_value_view;flatten_array_chunks,array_value_view;flatten_array_chunks,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::as_chunks_unchecked,iterator-splitting-and-chunking,flatten_array_chunks,array_value_view;flatten_array_chunks,array_value_view;flatten_array_chunks,array_value_view;flatten_array_chunks,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::as_chunks_unchecked_mut,iterator-splitting-and-chunking,flatten_array_chunks,array_value_view;flatten_array_chunks,array_value_view;flatten_array_chunks,array_value_view;flatten_array_chunks,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::as_flattened,views-and-fixed-subranges,flatten_array_chunks,array_value_view;flatten_array_chunks,array_value_view;flatten_array_chunks,array_value_view;flatten_array_chunks,,,Seq fixed-size array/chunk/subrange view helpers
core::slice::as_flattened_mut,views-and-fixed-subranges,flatten_array_chunks,array_value_view;flatten_array_chunks,array_value_view;flatten_array_chunks,array_value_view;flatten_array_chunks,,,Seq fixed-size array/chunk/subrange view helpers
core::slice::as_mut_array,views-and-fixed-subranges,array_mut_ref_view;array_value_view,array_mut_ref_view;array_value_view,array_mut_ref_view;array_value_view,array_mut_ref_view;array_value_view,,,Seq fixed-size array/chunk/subrange view helpers
core::slice::as_mut_ptr,raw-pointer-and-provenance,slice_start_mut_ptr,slice_start_mut_ptr,slice_start_mut_ptr,,,slice_start_mut_ptr,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers"
core::slice::as_mut_ptr_range,raw-pointer-and-provenance,slice_mut_ptr_range_result,slice_mut_ptr_range_result,slice_mut_ptr_range_result,,,slice_mut_ptr_range_result,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers"
core::slice::as_ptr,raw-pointer-and-provenance,slice_start_ptr,slice_start_ptr,slice_start_ptr,,,slice_start_ptr,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers"
core::slice::as_ptr_range,raw-pointer-and-provenance,slice_ptr_range_result,slice_ptr_range_result,slice_ptr_range_result,,,slice_ptr_range_result,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers"
core::slice::as_rchunks,iterator-splitting-and-chunking,slice_array_rchunks_partition,array_value_view;flatten_array_chunks;slice_array_rchunks_partition,array_value_view;flatten_array_chunks,array_value_view;flatten_array_chunks,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::as_rchunks_mut,iterator-splitting-and-chunking,flatten_array_chunks;slice_array_rchunks_partition,array_value_view;flatten_array_chunks;slice_array_rchunks_partition,array_value_view;flatten_array_chunks,array_value_view;flatten_array_chunks,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::assume_init_drop,maybe-uninit-slice-storage,maybe_uninit_all_initialized;maybe_uninit_drop_all;maybe_uninit_seq_relation,maybe_uninit_all_initialized;maybe_uninit_drop_all;maybe_uninit_seq_relation,maybe_uninit_seq_relation,,,maybe_uninit_seq_relation,MaybeUninit initialization/raw-storage view plus old/final write-frame helper
core::slice::assume_init_mut,maybe-uninit-slice-storage,maybe_uninit_all_initialized;maybe_uninit_seq_relation,maybe_uninit_all_initialized;maybe_uninit_seq_relation,maybe_uninit_seq_relation,,,maybe_uninit_seq_relation,MaybeUninit initialization/raw-storage view plus old/final write-frame helper
core::slice::assume_init_ref,maybe-uninit-slice-storage,maybe_uninit_all_initialized;maybe_uninit_seq_relation,maybe_uninit_all_initialized;maybe_uninit_seq_relation,maybe_uninit_seq_relation,,,maybe_uninit_seq_relation,MaybeUninit initialization/raw-storage view plus old/final write-frame helper
core::slice::binary_search,search-prefix-suffix-ordering,slice_binary_search_result,ord_cmp_observed;ord_leq_observed;ordering_rank;slice_binary_search_result;slice_ord_equal_at;slice_ord_insertion_point;slice_sorted_by_ord,ord_cmp_observed,,ord_cmp_observed,,"ord_cmp_observed, FnMut ordering/key observation, predicate observation, sortedness, and partition helpers"
core::slice::binary_search_by,search-prefix-suffix-ordering,slice_binary_search_by_result,fnmut_ordering_observed;ordering_rank;slice_binary_search_by_equal_at;slice_binary_search_by_insertion_point;slice_binary_search_by_ordered;slice_binary_search_by_result,fnmut_ordering_observed,,,fnmut_ordering_observed,"ord_cmp_observed, FnMut ordering/key observation, predicate observation, sortedness, and partition helpers"
core::slice::binary_search_by_key,search-prefix-suffix-ordering,slice_binary_search_by_key_result,fnmut_key_observed;ord_cmp_observed;ord_leq_observed;ordering_rank;slice_binary_search_by_key_equal_at;slice_binary_search_by_key_insertion_point;slice_binary_search_by_key_ordered;slice_binary_search_by_key_result,fnmut_key_observed;ord_cmp_observed,,ord_cmp_observed,fnmut_key_observed,"ord_cmp_observed, FnMut ordering/key observation, predicate observation, sortedness, and partition helpers"
core::slice::chunk_by,iterator-splitting-and-chunking,slice_adjacent_chunk_view,fnmut_adjacent_predicate_observed;slice_adjacent_chunk_view;slice_iterator_view;slice_iterator_well_formed,fnmut_adjacent_predicate_observed;slice_iterator_view,,slice_iterator_view,fnmut_adjacent_predicate_observed,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::chunk_by_mut,iterator-splitting-and-chunking,slice_adjacent_chunk_view,fnmut_adjacent_predicate_observed;slice_adjacent_chunk_view;slice_iterator_view;slice_iterator_well_formed,fnmut_adjacent_predicate_observed;slice_iterator_view,,slice_iterator_view,fnmut_adjacent_predicate_observed,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::chunks,iterator-splitting-and-chunking,slice_iterator_view,slice_iterator_view,slice_iterator_view,,slice_iterator_view,,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::chunks_exact,iterator-splitting-and-chunking,slice_chunk_partition;slice_iterator_view,slice_chunk_partition;slice_iterator_view;slice_iterator_well_formed,slice_iterator_view,,slice_iterator_view,,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::chunks_exact_mut,iterator-splitting-and-chunking,slice_chunk_partition;slice_iterator_view,slice_chunk_partition;slice_iterator_view;slice_iterator_well_formed,slice_iterator_view,,slice_iterator_view,,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::chunks_mut,iterator-splitting-and-chunking,slice_iterator_view,slice_iterator_view,slice_iterator_view,,slice_iterator_view,,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::clone_from_slice,mutation-frame-and-permutation,slice_cloned_from,slice_cloned_from,,,,,slice_cloned_from relation using vstd cloned<T> plus old/final slice views
core::slice::contains,search-prefix-suffix-ordering,slice_contains_value,partial_eq_observed;slice_contains_value,partial_eq_observed,,partial_eq_observed,,partial_eq_observed bridge plus Seq membership/prefix/suffix helpers
core::slice::element_offset,raw-pointer-and-provenance,slice_element_in_domain;slice_element_offset_result,slice_element_in_domain;slice_element_offset_result,slice_element_in_domain;slice_element_offset_result,,,slice_element_in_domain;slice_element_offset_result,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers"
core::slice::ends_with,search-prefix-suffix-ordering,slice_is_suffix,partial_eq_observed;slice_is_suffix,partial_eq_observed,,partial_eq_observed,,partial_eq_observed bridge plus Seq membership/prefix/suffix helpers
core::slice::eq_ignore_ascii_case,ascii-byte-sequence,ascii_eq_ignore_case,ascii_eq_ignore_case;ascii_is_uppercase;ascii_lower_byte,ascii_lower_byte,ascii_lower_byte,,,"Source-backed Seq<u8> ASCII classification, case-map, and trim boundary/subrange helpers; EscapeAscii byte expansion remains an iterator-formatting boundary"
core::slice::escape_ascii,ascii-byte-sequence,ascii_escape_seq;slice_iterator_view,ascii_escape_seq;slice_iterator_view,ascii_escape_seq;slice_iterator_view,,slice_iterator_view,ascii_escape_seq,"Source-backed Seq<u8> ASCII classification, case-map, and trim boundary/subrange helpers; EscapeAscii byte expansion remains an iterator-formatting boundary"
core::slice::fill,mutation-frame-and-permutation,slice_filled_with_clone,slice_filled_with_clone,,,,,slice_filled_with_clone relation using vstd cloned<T> plus old/final slice views
core::slice::fill_with,mutation-frame-and-permutation,zero_arg_fnmut_outputs,zero_arg_fnmut_outputs,zero_arg_fnmut_outputs,,zero_arg_fnmut_outputs,,zero_arg_fnmut_outputs closure-observation sequence plus old/final slice views
core::slice::first_chunk,iterator-splitting-and-chunking,array_ref_view;slice_fixed_prefix,array_ref_view;slice_fixed_prefix,array_ref_view,array_ref_view,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
