canonical_target,display_path,origin_path,declaration_id,source_location,copied_source_path,original_source_path,kind,signature,generic_bounds,safety,stability,since,constness,abi,alias_approximate,has_approximate_alias,existing_vstd_status,existing_vstd_provenance,planned_spec_status,semantic_family,source_observable_inputs,source_observable_outputs,source_observable_mutations,required_shared_model_helper,decisive_validation_command,final_contract_or_justified_no_spec_status,counting_basis
core::slice::ChunksExact::remainder,core::slice::ChunksExact::remainder,core::slice::iter::ChunksExact::remainder,core:33656,core/src/slice/iter.rs:1876,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/iter.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/iter.rs,inherent_method,pub fn remainder(&self) -> &'a [T],none,safe,stable,1.31.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,&self,&'a [T],none; observational or constructor result only,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::ChunksExactMut::into_remainder,core::slice::ChunksExactMut::into_remainder,core::slice::iter::ChunksExactMut::into_remainder,core:33672,core/src/slice/iter.rs:2039,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/iter.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/iter.rs,inherent_method,pub fn into_remainder(self) -> &'a mut [T],none,safe,stable,1.31.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,self,&'a mut [T],none; observational or constructor result only,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::Iter::as_slice,core::slice::Iter::as_slice,core::slice::iter::Iter::as_slice,core:33478,core/src/slice/iter.rs:135,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/iter.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/iter.rs,inherent_method,pub fn as_slice(&self) -> &'a [T],none,safe,stable,1.4.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,&self,&'a [T],none; observational or constructor result only,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::IterMut::as_slice,core::slice::IterMut::as_slice,core::slice::iter::IterMut::as_slice,core:33494,core/src/slice/iter.rs:311,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/iter.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/iter.rs,inherent_method,pub fn as_slice(&self) -> &[T],none,safe,stable,1.53.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,&self,&[T],none; observational or constructor result only,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::IterMut::into_slice,core::slice::IterMut::into_slice,core::slice::iter::IterMut::into_slice,core:33493,core/src/slice/iter.rs:274,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/iter.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/iter.rs,inherent_method,pub fn into_slice(self) -> &'a mut [T],none,safe,stable,1.4.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,self,&'a mut [T],none; observational or constructor result only,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::RChunksExact::remainder,core::slice::RChunksExact::remainder,core::slice::iter::RChunksExact::remainder,core:33721,core/src/slice/iter.rs:2686,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/iter.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/iter.rs,inherent_method,pub const fn remainder(&self) -> &'a [T],none,safe,stable,1.31.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,&self,&'a [T],none; observational or constructor result only,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::RChunksExactMut::into_remainder,core::slice::RChunksExactMut::into_remainder,core::slice::iter::RChunksExactMut::into_remainder,core:33736,core/src/slice/iter.rs:2855,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/iter.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/iter.rs,inherent_method,pub const fn into_remainder(self) -> &'a mut [T],none,safe,stable,1.31.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,self,&'a mut [T],none; observational or constructor result only,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::align_to,core::slice::<[T]>::align_to,core::slice::align_to,core:61130,core/src/slice/mod.rs:4506,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub unsafe fn align_to<U>(&self) -> (&[T], &[U], &[T])",<U>,unsafe,stable,1.30.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,raw-pointer-and-provenance,&self,"(&[T], &[U], &[T])",none; observational or constructor result only,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::align_to_mut,core::slice::<[T]>::align_to_mut,core::slice::align_to_mut,core:61131,core/src/slice/mod.rs:4571,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub unsafe fn align_to_mut<U>(&mut self) -> (&mut [T], &mut [U], &mut [T])",<U>,unsafe,stable,1.30.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,raw-pointer-and-provenance,&mut self,"(&mut [T], &mut [U], &mut [T])",may mutate receiver slice contents; inventory requires old/final frame in generation phase,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::array_windows,core::slice::<[T]>::array_windows,core::slice::array_windows,core:33684,core/src/slice/mod.rs:1649,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub const fn array_windows<const N: usize>(&self) -> ArrayWindows<'_, T, N>",<const N: usize>,safe,stable,1.94.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,&self,"ArrayWindows<'_, T, N>",none; observational or constructor result only,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
