target,old_subset_class,current_full_inventory_status
alloc::vec::Vec::new,strict-accepted,existing-vstd
alloc::vec::Vec::pop,strict-accepted,existing-vstd
alloc::vec::Vec::push,strict-accepted,existing-vstd
alloc::vec::Vec::append,duplicate-vstd-row,existing-vstd
alloc::vec::Vec::capacity,duplicate-vstd-row,existing-vstd
alloc::vec::Vec::len,duplicate-vstd-row,existing-vstd
alloc::vec::Vec::reserve,duplicate-vstd-row,existing-vstd
alloc::vec::Vec::with_capacity,duplicate-vstd-row,existing-vstd
alloc::vec::Drain::as_slice,old-gap,generated-new-real-relation-spec
alloc::vec::IntoIter::as_mut_slice,old-gap,generated-new-real-relation-spec
alloc::vec::IntoIter::as_slice,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::as_mut_ptr,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::as_ptr,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::dedup,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::dedup_by,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::dedup_by_key,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::drain,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::extend_from_within,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::extract_if,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::from_raw_parts,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::insert_mut,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::into_boxed_slice,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::into_flattened,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::into_raw_parts,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::leak,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::pop_if,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::push_mut,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::resize_with,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::retain,old-gap,generated-new-real-relation-spec
alloc::vec::Vec::retain_mut,old-gap,generated-new-real-relation-spec
