input_order,module,target,target_owner,target_path,semantic_family,source_reference,source_reference_path,frozen_relpath,source_file_sha256,source_item_sha256,signature_start_line,signature_end_line,body_start_line,body_end_line,enclosing_impl_header,enclosing_impl_start_line,direct_call_count,private_helper_callee_count,generated_target_dependency_count,present_dependency_categories,proof_order_index,proof_tier,proof_tier_reason,source_manifest_relpath,transformation_manifest_relpath,dependency_manifest_relpath,harness_relpath
1,slice,core::slice::ChunksExact::remainder,core::slice::ChunksExact,core::slice::ChunksExact::remainder,iterator-splitting-and-chunking,core/src/slice/iter.rs:1876,core/src/slice/iter.rs,frozen_inputs/slice/rust-core-slice/iter.rs,c309e04ca3da2fc4220ee3f93b4466c578ea7f3f2ef52cca6a3fdf8ac28e53d3,52c87daecc8119b00040a9a13d3d339571ba252c96f64bb463cfe834699e7bd0,1878,1878,1878,1880,"impl<'a, T> ChunksExact<'a, T> {",1849,0,0,0,[],1,0,no generated-target callees or detected hard boundary,proof_manifests/001_core_slice_ChunksExact_remainder/source_body.json,proof_manifests/001_core_slice_ChunksExact_remainder/transformation_manifest.json,proof_manifests/001_core_slice_ChunksExact_remainder/dependency_assumption_manifest.json,proof_harnesses/001_core_slice_ChunksExact_remainder/harness.rs
2,slice,core::slice::ChunksExactMut::into_remainder,core::slice::ChunksExactMut,core::slice::ChunksExactMut::into_remainder,iterator-splitting-and-chunking,core/src/slice/iter.rs:2039,core/src/slice/iter.rs,frozen_inputs/slice/rust-core-slice/iter.rs,c309e04ca3da2fc4220ee3f93b4466c578ea7f3f2ef52cca6a3fdf8ac28e53d3,594db173f21195a95d202ec519cecc6af52d53e18b1679cc8e143345cd85d1a9,2041,2041,2041,2043,"impl<'a, T> ChunksExactMut<'a, T> {",2026,0,0,0,[],2,0,no generated-target callees or detected hard boundary,proof_manifests/002_core_slice_ChunksExactMut_into_remainder/source_body.json,proof_manifests/002_core_slice_ChunksExactMut_into_remainder/transformation_manifest.json,proof_manifests/002_core_slice_ChunksExactMut_into_remainder/dependency_assumption_manifest.json,proof_harnesses/002_core_slice_ChunksExactMut_into_remainder/harness.rs
3,slice,core::slice::Iter::as_slice,core::slice::Iter,core::slice::Iter::as_slice,iterator-splitting-and-chunking,core/src/slice/iter.rs:135,core/src/slice/iter.rs,frozen_inputs/slice/rust-core-slice/iter.rs,c309e04ca3da2fc4220ee3f93b4466c578ea7f3f2ef52cca6a3fdf8ac28e53d3,c7255b92712674fa8be5f0f442386dbdeade5271f71ed3d21356184c4dfa7d96,137,137,137,139,"impl<'a, T> Iter<'a, T> {",94,1,1,0,[],3,0,no generated-target callees or detected hard boundary,proof_manifests/003_core_slice_Iter_as_slice/source_body.json,proof_manifests/003_core_slice_Iter_as_slice/transformation_manifest.json,proof_manifests/003_core_slice_Iter_as_slice/dependency_assumption_manifest.json,proof_harnesses/003_core_slice_Iter_as_slice/harness.rs
4,slice,core::slice::IterMut::as_slice,core::slice::IterMut,core::slice::IterMut::as_slice,iterator-splitting-and-chunking,core/src/slice/iter.rs:311,core/src/slice/iter.rs,frozen_inputs/slice/rust-core-slice/iter.rs,c309e04ca3da2fc4220ee3f93b4466c578ea7f3f2ef52cca6a3fdf8ac28e53d3,67a00e272341651d663752530cdf83c3452a9c73f109a1773e24422d675e8a3a,313,313,313,315,"impl<'a, T> IterMut<'a, T> {",219,1,1,0,[],4,0,no generated-target callees or detected hard boundary,proof_manifests/004_core_slice_IterMut_as_slice/source_body.json,proof_manifests/004_core_slice_IterMut_as_slice/transformation_manifest.json,proof_manifests/004_core_slice_IterMut_as_slice/dependency_assumption_manifest.json,proof_harnesses/004_core_slice_IterMut_as_slice/harness.rs
5,slice,core::slice::IterMut::into_slice,core::slice::IterMut,core::slice::IterMut::into_slice,iterator-splitting-and-chunking,core/src/slice/iter.rs:274,core/src/slice/iter.rs,frozen_inputs/slice/rust-core-slice/iter.rs,c309e04ca3da2fc4220ee3f93b4466c578ea7f3f2ef52cca6a3fdf8ac28e53d3,6b6f3d1c44a66191d56542d38615b12d4e540e8e4de042f6c176a22d715de7ca,276,276,276,281,"impl<'a, T> IterMut<'a, T> {",219,3,0,0,"['raw_pointer_or_provenance', 'unsafe']",38,1,no generated-target callees; allocator/raw-pointer boundary required,proof_manifests/005_core_slice_IterMut_into_slice/source_body.json,proof_manifests/005_core_slice_IterMut_into_slice/transformation_manifest.json,proof_manifests/005_core_slice_IterMut_into_slice/dependency_assumption_manifest.json,proof_harnesses/005_core_slice_IterMut_into_slice/harness.rs
6,slice,core::slice::RChunksExact::remainder,core::slice::RChunksExact,core::slice::RChunksExact::remainder,iterator-splitting-and-chunking,core/src/slice/iter.rs:2686,core/src/slice/iter.rs,frozen_inputs/slice/rust-core-slice/iter.rs,c309e04ca3da2fc4220ee3f93b4466c578ea7f3f2ef52cca6a3fdf8ac28e53d3,b6dbb4f20cac2706f157dad53b7470a370b2ce86d848a48f8368d84056071572,2688,2688,2688,2690,"impl<'a, T> RChunksExact<'a, T> {",2659,0,0,0,[],5,0,no generated-target callees or detected hard boundary,proof_manifests/006_core_slice_RChunksExact_remainder/source_body.json,proof_manifests/006_core_slice_RChunksExact_remainder/transformation_manifest.json,proof_manifests/006_core_slice_RChunksExact_remainder/dependency_assumption_manifest.json,proof_harnesses/006_core_slice_RChunksExact_remainder/harness.rs
7,slice,core::slice::RChunksExactMut::into_remainder,core::slice::RChunksExactMut,core::slice::RChunksExactMut::into_remainder,iterator-splitting-and-chunking,core/src/slice/iter.rs:2855,core/src/slice/iter.rs,frozen_inputs/slice/rust-core-slice/iter.rs,c309e04ca3da2fc4220ee3f93b4466c578ea7f3f2ef52cca6a3fdf8ac28e53d3,e7afc872b12681ba54e0b518edd5b9d8e252d1866cb7a1524c6ae801db1b9c1e,2857,2857,2857,2859,"impl<'a, T> RChunksExactMut<'a, T> {",2842,0,0,0,[],6,0,no generated-target callees or detected hard boundary,proof_manifests/007_core_slice_RChunksExactMut_into_remainder/source_body.json,proof_manifests/007_core_slice_RChunksExactMut_into_remainder/transformation_manifest.json,proof_manifests/007_core_slice_RChunksExactMut_into_remainder/dependency_assumption_manifest.json,proof_harnesses/007_core_slice_RChunksExactMut_into_remainder/harness.rs
8,slice,core::slice::align_to,core::slice,core::slice::align_to,raw-pointer-and-provenance,core/src/slice/mod.rs:4506,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,38394f129cf389381904f8fea0ae93d1d1059f79b4a8505a540992907e485706,4499,4499,4499,4532,impl<T> [T] {,101,11,3,2,"['intrinsic', 'raw_pointer_or_provenance', 'unsafe']",94,2,depends on other generated targets,proof_manifests/008_core_slice_align_to/source_body.json,proof_manifests/008_core_slice_align_to/transformation_manifest.json,proof_manifests/008_core_slice_align_to/dependency_assumption_manifest.json,proof_harnesses/008_core_slice_align_to/harness.rs
9,slice,core::slice::align_to_mut,core::slice,core::slice::align_to_mut,raw-pointer-and-provenance,core/src/slice/mod.rs:4571,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,79bc07c28c34e853de5c1bbc49ebb8f27b4e8837109fc51c6a15eef97565ec27,4564,4564,4564,4605,impl<T> [T] {,101,12,3,2,"['intrinsic', 'raw_pointer_or_provenance', 'unsafe']",95,2,depends on other generated targets,proof_manifests/009_core_slice_align_to_mut/source_body.json,proof_manifests/009_core_slice_align_to_mut/transformation_manifest.json,proof_manifests/009_core_slice_align_to_mut/dependency_assumption_manifest.json,proof_harnesses/009_core_slice_align_to_mut/harness.rs
10,slice,core::slice::array_windows,core::slice,core::slice::array_windows,iterator-splitting-and-chunking,core/src/slice/mod.rs:1649,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,cb847876b5acfbc5b4dc0965b2f5e056bdd76de3517d4dc348c0f54d3d28bd54,1646,1646,1646,1649,impl<T> [T] {,101,2,0,0,['panic_or_bounds'],7,0,no generated-target callees or detected hard boundary,proof_manifests/010_core_slice_array_windows/source_body.json,proof_manifests/010_core_slice_array_windows/transformation_manifest.json,proof_manifests/010_core_slice_array_windows/dependency_assumption_manifest.json,proof_harnesses/010_core_slice_array_windows/harness.rs
