canonical_target,display_path,origin_path,declaration_id,source_location,stability,covered,contract_evidence,exclusion_reason
alloc::vec::Drain::allocator,alloc::vec::Drain::allocator,alloc::vec::drain::Drain::allocator,alloc:4862,alloc/src/vec/drain.rs:64,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Drain::keep_rest,alloc::vec::Drain::keep_rest,alloc::vec::drain::Drain::keep_rest,alloc:4863,alloc/src/vec/drain.rs:88,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::ExtractIf::allocator,alloc::vec::ExtractIf::allocator,alloc::vec::extract_if::ExtractIf::allocator,alloc:4798,alloc/src/vec/extract_if.rs:55,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::IntoIter::allocator,alloc::vec::IntoIter::allocator,alloc::vec::into_iter::IntoIter::allocator,alloc:4906,alloc/src/vec/into_iter.rs:113,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::PeekMut::pop,alloc::vec::PeekMut::pop,alloc::vec::peek_mut::PeekMut::pop,alloc:4960,alloc/src/vec/peek_mut.rs:37,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::allocator,alloc::vec::Vec::allocator,alloc::vec::Vec::allocator,alloc:5043,alloc/src/vec/mod.rs:2131,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::as_non_null,alloc::vec::Vec::as_non_null,alloc::vec::Vec::as_non_null,alloc:5041,alloc/src/vec/mod.rs:2123,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::const_make_global,alloc::vec::Vec::const_make_global,alloc::vec::Vec::const_make_global,alloc:5017,alloc/src/vec/mod.rs:895,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::from_fn,alloc::vec::Vec::from_fn,alloc::vec::Vec::from_fn,alloc:5014,alloc/src/vec/mod.rs:795,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::from_parts,alloc::vec::Vec::from_parts,alloc::vec::Vec::from_parts,alloc:5013,alloc/src/vec/mod.rs:745,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::from_parts_in,alloc::vec::Vec::from_parts_in,alloc::vec::Vec::from_parts_in,alloc:5025,alloc/src/vec/mod.rs:1307,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::from_raw_parts_in,alloc::vec::Vec::from_raw_parts_in,alloc::vec::Vec::from_raw_parts_in,alloc:5024,alloc/src/vec/mod.rs:1191,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::into_array,alloc::vec::Vec::into_array,alloc::vec::Vec::into_array,alloc:5034,alloc/src/vec/mod.rs:1761,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::into_chunks,alloc::vec::Vec::into_chunks,alloc::vec::Vec::into_chunks,alloc:5072,alloc/src/vec/mod.rs:3386,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::into_parts,alloc::vec::Vec::into_parts,alloc::vec::Vec::into_parts,alloc:5016,alloc/src/vec/mod.rs:882,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::into_parts_with_alloc,alloc::vec::Vec::into_parts_with_alloc,alloc::vec::Vec::into_parts_with_alloc,alloc:5027,alloc/src/vec/mod.rs:1412,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::into_raw_parts_with_alloc,alloc::vec::Vec::into_raw_parts_with_alloc,alloc::vec::Vec::into_raw_parts_with_alloc,alloc:5026,alloc/src/vec/mod.rs:1361,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::new_in,alloc::vec::Vec::new_in,alloc::vec::Vec::new_in,alloc:5022,alloc/src/vec/mod.rs:1067,unstable,True,std_specs/vec.rs:110,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::peek_mut,alloc::vec::Vec::peek_mut,alloc::vec::Vec::peek_mut,alloc:4958,alloc/src/vec/mod.rs:2908,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::push_within_capacity,alloc::vec::Vec::push_within_capacity,alloc::vec::Vec::push_within_capacity,alloc:5056,alloc/src/vec/mod.rs:2816,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::recycle,alloc::vec::Vec::recycle,alloc::vec::Vec::recycle,alloc:5073,alloc/src/vec/mod.rs:3466,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::split_at_spare_mut,alloc::vec::Vec::split_at_spare_mut,alloc::vec::Vec::split_at_spare_mut,alloc:5070,alloc/src/vec/mod.rs:3327,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::try_remove,alloc::vec::Vec::try_remove,alloc::vec::Vec::try_remove,alloc:5051,alloc/src/vec/mod.rs:2440,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::try_shrink_to,alloc::vec::Vec::try_shrink_to,alloc::vec::Vec::try_shrink_to,alloc:5033,alloc/src/vec/mod.rs:1696,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::try_shrink_to_fit,alloc::vec::Vec::try_shrink_to_fit,alloc::vec::Vec::try_shrink_to_fit,alloc:5032,alloc/src/vec/mod.rs:1664,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::try_with_capacity,alloc::vec::Vec::try_with_capacity,alloc::vec::Vec::try_with_capacity,alloc:5010,alloc/src/vec/mod.rs:537,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::try_with_capacity_in,alloc::vec::Vec::try_with_capacity_in,alloc::vec::Vec::try_with_capacity_in,alloc:5023,alloc/src/vec/mod.rs:1085,unstable,False,none,excluded unstable alloc::vec API under module-first stable counting rules
alloc::vec::Vec::with_capacity_in,alloc::vec::Vec::with_capacity_in,alloc::vec::Vec::with_capacity_in,alloc:5019,alloc/src/vec/mod.rs:974,unstable,True,std_specs/vec.rs:120,excluded unstable alloc::vec API under module-first stable counting rules
