module,used_in_production,evidence_count,production_evidence_count,source_file_count,production_source_file_count,exec_declarations,unique_api_paths,stable_unique_api_paths,stable_declarations,unstable_declarations,approximate_alias_declarations,covered_declarations,uncovered_declarations,covered_unique_api_paths,uncovered_unique_api_paths,covered_stable_unique_api_paths,uncovered_stable_unique_api_paths,unique_path_coverage_percent,stable_unique_path_coverage_percent
alloc::alloc,True,105,8,9,4,36,36,23,23,13,0,13,23,13,23,13,10,36.11,56.52
alloc::borrow,True,20,20,14,14,8,8,6,6,2,0,0,8,0,8,0,6,0.0,0.0
alloc::boxed,True,102,80,38,33,60,55,17,20,40,0,2,58,2,53,2,15,3.64,11.76
alloc::collections,True,125,123,38,37,197,197,155,155,42,0,85,112,85,112,85,70,43.15,54.84
alloc::collections::btree_map,True,47,47,13,13,85,85,49,49,36,0,11,74,11,74,11,38,12.94,22.45
alloc::collections::btree_set,True,6,6,3,3,70,70,27,27,43,0,9,61,9,61,9,18,12.86,33.33
alloc::collections::linked_list,True,1,1,1,1,60,60,20,20,40,0,13,47,13,47,13,7,21.67,65.0
alloc::collections::vec_deque,True,14,14,6,6,70,70,54,54,16,0,33,37,33,37,33,21,47.14,61.11
alloc::ffi,True,16,16,6,6,19,19,19,19,0,0,14,5,14,5,14,5,73.68,73.68
alloc::fmt,True,12,12,3,3,123,121,90,92,31,40,0,123,0,121,0,90,0.0,0.0
alloc::rc,True,19,19,7,7,69,68,31,32,37,0,3,66,3,65,3,28,4.41,9.68
alloc::string,True,199,184,75,69,56,56,47,47,9,0,14,42,14,42,14,33,25.0,29.79
alloc::sync,True,47,47,15,15,72,71,31,32,40,0,1,71,1,70,1,30,1.41,3.23
alloc::vec,True,340,277,121,106,77,77,49,49,28,0,26,51,26,51,24,25,33.77,48.98
core::alloc,True,25,22,9,8,31,31,18,18,13,0,13,18,13,18,13,5,41.94,72.22
core::arch,True,130,123,41,37,1,1,0,0,1,0,0,1,0,1,0,0,0.0,0.0
core::arch::x86,False,1,0,1,0,6144,6144,6080,6080,64,0,0,6144,0,6144,0,6080,0.0,0.0
core::array,True,6,6,3,3,24,23,12,12,12,0,1,23,1,22,1,11,4.35,8.33
core::cell,True,39,39,16,16,70,70,51,51,19,0,0,70,0,70,0,51,0.0,0.0
core::cmp,True,68,59,35,30,29,29,26,26,3,0,19,10,19,10,19,7,65.52,73.08
core::convert,True,19,11,19,11,12,12,7,7,5,0,4,8,4,8,4,3,33.33,57.14
core::error,True,2,2,2,2,12,12,3,3,9,0,0,12,0,12,0,3,0.0,0.0
core::f32::consts,True,18,18,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
core::f64::consts,True,21,21,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
core::ffi,True,192,165,79,68,14,14,10,10,4,0,7,7,7,7,7,3,50.0,70.0
core::fmt,True,290,289,97,96,123,121,90,92,31,40,0,123,0,121,0,90,0.0,0.0
core::hint,True,49,26,23,14,14,14,6,6,8,0,1,13,1,13,1,5,7.14,16.67
core::intrinsics,True,3,3,3,3,231,231,4,4,227,0,2,229,2,229,0,4,0.87,0.0
core::marker,True,4,4,3,3,8,8,0,0,8,0,0,8,0,8,0,0,0.0,0.0
core::mem,True,1088,1047,270,261,63,63,32,32,31,0,12,51,12,51,12,20,19.05,37.5
core::ops,True,25,25,15,15,70,70,52,52,18,0,19,51,19,51,19,33,27.14,36.54
core::panic,True,4,4,2,2,11,11,9,9,2,0,4,7,4,7,4,5,36.36,44.44
core::pin,True,9,9,5,5,23,23,16,16,7,0,0,23,0,23,0,16,0.0,0.0
core::prelude::v1,True,3,3,1,1,215,210,175,179,36,0,57,158,56,154,56,119,26.67,32.0
core::ptr,True,745,591,191,164,223,175,121,154,69,10,2,221,2,173,2,119,1.14,1.65
core::result,True,8,8,2,2,40,38,36,38,2,0,10,30,10,28,10,26,26.32,27.78
core::slice,True,114,93,51,46,176,174,132,132,44,0,13,163,13,161,12,120,7.47,9.09
core::str,True,35,27,20,14,106,106,86,86,20,0,11,95,11,95,11,75,10.38,12.79
core::sync::atomic,True,595,269,76,40,597,331,329,595,2,0,150,447,150,181,150,179,45.32,45.59
core::time,True,55,21,24,10,42,42,36,36,6,0,36,6,36,6,36,0,85.71,100.0
std::alloc,True,5,5,1,1,38,38,23,23,15,0,13,25,13,25,13,10,34.21,56.52
std::borrow,True,1,1,1,1,8,8,6,6,2,0,0,8,0,8,0,6,0.0,0.0
std::cell,True,5,5,3,3,70,70,51,51,19,0,0,70,0,70,0,51,0.0,0.0
std::cmp,True,1,1,1,1,29,29,26,26,3,0,19,10,19,10,19,7,65.52,73.08
std::collections,True,41,29,21,15,272,272,218,218,54,0,110,162,110,162,110,108,40.44,50.46
std::env,True,208,59,85,30,15,15,15,15,0,0,0,15,0,15,0,15,0.0,0.0
std::error,True,3,3,3,3,15,15,3,3,12,0,0,15,0,15,0,3,0.0,0.0
std::ffi,True,101,101,20,20,71,71,62,62,9,0,21,50,21,50,21,41,29.58,33.87
std::fmt,True,28,28,8,8,123,121,90,92,31,40,0,123,0,121,0,90,0.0,0.0
std::fs,True,388,241,85,49,76,76,68,68,8,0,0,76,0,76,0,68,0.0,0.0
std::future,True,3,3,3,3,8,8,6,6,2,0,0,8,0,8,0,6,0.0,0.0
std::io,True,274,225,78,48,170,168,129,131,39,40,0,170,0,168,0,129,0.0,0.0
std::iter,True,1,1,1,1,119,119,88,88,31,0,9,110,9,110,9,79,7.56,10.23
std::marker,True,1,1,1,1,8,8,0,0,8,0,0,8,0,8,0,0,0.0,0.0
std::mem,True,92,90,19,18,63,63,32,32,31,0,12,51,12,51,12,20,19.05,37.5
std::net,True,29,12,10,6,145,145,116,116,29,0,56,89,56,89,56,60,38.62,48.28
std::ops,True,3,3,1,1,70,70,52,52,18,0,19,51,19,51,19,33,27.14,36.54
std::os::fd,True,8,8,2,2,7,7,7,7,0,0,0,7,0,7,0,7,0.0,0.0
std::os::unix::ffi,True,1,1,1,1,4,4,4,4,0,0,0,4,0,4,0,4,0.0,0.0
std::os::unix::fs,True,9,6,5,4,42,42,36,36,6,0,0,42,0,42,0,36,0.0,0.0
std::os::unix::io,True,8,8,4,4,10,10,7,7,3,0,0,10,0,10,0,7,0.0,0.0
std::os::unix::net,True,2,2,1,1,73,73,45,45,28,0,0,73,0,73,0,45,0.0,0.0
std::os::windows::fs,True,7,5,3,2,28,28,17,17,11,0,0,28,0,28,0,17,0.0,0.0
std::os::windows::io,True,2,2,2,2,16,16,16,16,0,0,0,16,0,16,0,16,0.0,0.0
std::os::windows::prelude,True,1,1,1,1,34,34,29,29,5,0,0,34,0,34,0,29,0.0,0.0
std::panic,True,2,2,1,1,23,23,16,16,7,0,4,19,4,19,4,12,17.39,25.0
std::path,True,279,149,91,51,76,76,66,66,10,0,0,76,0,76,0,66,0.0,0.0
std::pin,True,3,3,3,3,23,23,16,16,7,0,0,23,0,23,0,16,0.0,0.0
std::process,True,100,84,25,21,42,42,32,32,10,0,0,42,0,42,0,32,0.0,0.0
std::ptr,True,39,39,12,12,223,175,121,154,69,10,2,221,2,173,2,119,1.14,1.65
std::rc,True,4,4,2,2,69,68,31,32,37,0,3,66,3,65,3,28,4.41,9.68
std::result,True,12,12,4,4,40,38,36,38,2,0,10,30,10,28,10,26,26.32,27.78
std::slice,True,18,18,5,5,175,173,132,132,43,0,13,162,13,160,12,120,7.51,9.09
std::str,True,7,6,7,6,105,105,87,87,18,0,11,94,11,94,11,76,10.48,12.64
std::string,True,45,45,13,13,56,56,47,47,9,0,14,42,14,42,14,33,25.0,29.79
std::sync,True,181,181,35,35,241,236,156,161,80,80,1,240,1,235,1,155,0.42,0.64
std::sync::atomic,True,164,164,12,12,597,331,329,595,2,0,150,447,150,181,150,179,45.32,45.59
std::sync::mpsc,True,6,6,2,2,13,13,10,10,3,0,0,13,0,13,0,10,0.0,0.0
std::thread,True,33,33,10,10,86,81,72,77,9,40,0,86,0,81,0,72,0.0,0.0
std::time,True,192,133,32,22,58,58,49,49,9,0,36,22,36,22,36,13,62.07,73.47
std::vec,True,136,136,64,64,77,77,49,49,28,0,26,51,26,51,24,25,33.77,48.98
