target,semantic_family,direct_shared_helpers,reachable_shared_helpers,audited_shared_helpers,source-backed,law-constrained,irreducible-boundary-abstraction,catalog_shared_helpers_note
alloc::vec::Drain::as_slice,vec-iterator-adaptor-state,vec_drain_remaining,vec_drain_remaining,vec_drain_remaining,,vec_drain_remaining,,vec_drain_remaining
alloc::vec::IntoIter::as_mut_slice,vec-iterator-adaptor-state,vec_into_iter_remaining_mut,vec_into_iter_remaining_mut,vec_into_iter_remaining_mut,,vec_into_iter_remaining_mut,,vec_into_iter_remaining_mut
alloc::vec::IntoIter::as_slice,vec-iterator-adaptor-state,vec_into_iter_remaining,vec_into_iter_remaining,vec_into_iter_remaining,,vec_into_iter_remaining,,vec_into_iter_remaining
alloc::vec::Vec::append,vec-sequence-mutation,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::as_mut_ptr,vec-raw-parts-pointer-provenance,CapacitySpec::spec_capacity;vec_start_mut_ptr,CapacitySpec::spec_capacity;vec_start_mut_ptr,CapacitySpec::spec_capacity;vec_start_mut_ptr,,,CapacitySpec::spec_capacity;vec_start_mut_ptr,CapacitySpec::spec_capacity;vec_start_mut_ptr
alloc::vec::Vec::as_mut_slice,vec-logical-sequence-view,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::as_ptr,vec-raw-parts-pointer-provenance,CapacitySpec::spec_capacity;vec_start_ptr,CapacitySpec::spec_capacity;vec_start_ptr,CapacitySpec::spec_capacity;vec_start_ptr,,,CapacitySpec::spec_capacity;vec_start_ptr,CapacitySpec::spec_capacity;vec_start_ptr
alloc::vec::Vec::as_slice,vec-logical-sequence-view,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::capacity,vec-capacity-allocation-state,CapacitySpec::spec_capacity,CapacitySpec::spec_capacity,CapacitySpec::spec_capacity,,,CapacitySpec::spec_capacity,CapacitySpec::spec_capacity
alloc::vec::Vec::clear,vec-sequence-mutation,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::dedup,vec-callback-trace-mutation,vec_dedup_partial_eq_result,vec_dedup_partial_eq_result,vec_dedup_partial_eq_result,,vec_dedup_partial_eq_result,,vec_dedup_partial_eq_result
alloc::vec::Vec::dedup_by,vec-callback-trace-mutation,vec_dedup_by_result,vec_dedup_by_result,vec_dedup_by_result,,vec_dedup_by_result,,vec_dedup_by_result
alloc::vec::Vec::dedup_by_key,vec-callback-trace-mutation,vec_dedup_by_key_result,vec_dedup_by_key_result,vec_dedup_by_key_result,,vec_dedup_by_key_result,,vec_dedup_by_key_result
alloc::vec::Vec::drain,vec-iterator-adaptor-state,vec_range_bounds_valid;vec_drain_created,vec_range_bounds_valid;vec_range_start;vec_range_end;vec_drain_created,vec_range_bounds_valid;vec_range_start;vec_range_end;vec_drain_created,,vec_range_bounds_valid;vec_range_start;vec_range_end;vec_drain_created,,vec_range_bounds_valid;vec_range_start;vec_range_end;vec_drain_created
alloc::vec::Vec::extend_from_slice,vec-sequence-mutation,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::extend_from_within,vec-sequence-mutation,vec_range_bounds_valid;vec_extend_from_within_result,vec_range_bounds_valid;vec_range_start;vec_range_end;vec_extend_from_within_result,vec_range_bounds_valid;vec_range_start;vec_range_end;vec_extend_from_within_result,vec_extend_from_within_result,vec_range_bounds_valid;vec_range_start;vec_range_end,,vec_range_bounds_valid;vec_range_start;vec_range_end;vec_extend_from_within_result
alloc::vec::Vec::extract_if,vec-iterator-adaptor-state,vec_range_bounds_valid;vec_extract_if_created,vec_range_bounds_valid;vec_range_start;vec_range_end;vec_extract_if_created,vec_range_bounds_valid;vec_range_start;vec_range_end;vec_extract_if_created,,vec_range_bounds_valid;vec_range_start;vec_range_end;vec_extract_if_created,,vec_range_bounds_valid;vec_range_start;vec_range_end;vec_extract_if_created
alloc::vec::Vec::from_raw_parts,vec-raw-parts-pointer-provenance,CapacitySpec::spec_capacity;vec_raw_parts_domain;vec_raw_parts_initialized_seq,CapacitySpec::spec_capacity;vec_raw_parts_domain;vec_raw_parts_initialized_seq;vec_raw_parts_storage_ptr,CapacitySpec::spec_capacity;vec_raw_parts_domain;vec_raw_parts_initialized_seq;vec_raw_parts_storage_ptr,,,CapacitySpec::spec_capacity;vec_raw_parts_domain;vec_raw_parts_initialized_seq;vec_raw_parts_storage_ptr,CapacitySpec::spec_capacity;vec_raw_parts_domain;vec_raw_parts_initialized_seq;vec_raw_parts_storage_ptr
alloc::vec::Vec::insert,vec-sequence-mutation,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::insert_mut,vec-sequence-mutation,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::into_boxed_slice,vec-slice-boxed-slice-conversion,boxed_slice_view;boxed_slice_capacity,boxed_slice_view;boxed_slice_capacity,boxed_slice_view;boxed_slice_capacity,,,boxed_slice_view;boxed_slice_capacity,boxed_slice_view;boxed_slice_capacity
alloc::vec::Vec::into_flattened,vec-sequence-mutation,flatten_array_vec,flatten_array_vec;array_value_view,flatten_array_vec;array_value_view,flatten_array_vec,array_value_view,,flatten_array_vec;array_value_view
alloc::vec::Vec::into_raw_parts,vec-raw-parts-pointer-provenance,CapacitySpec::spec_capacity;vec_raw_parts_round_trip,CapacitySpec::spec_capacity;vec_raw_parts_round_trip,CapacitySpec::spec_capacity;vec_raw_parts_round_trip,,,CapacitySpec::spec_capacity;vec_raw_parts_round_trip,CapacitySpec::spec_capacity;vec_raw_parts_round_trip
alloc::vec::Vec::is_empty,vec-logical-sequence-view,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::leak,vec-slice-boxed-slice-conversion,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::len,vec-logical-sequence-view,spec_vec_len,spec_vec_len,spec_vec_len,,spec_vec_len,,spec_vec_len
alloc::vec::Vec::new,vec-sequence-mutation,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::pop,vec-sequence-mutation,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::pop_if,vec-callback-trace-mutation,vec_pop_if_result,vec_pop_if_result,vec_pop_if_result,,vec_pop_if_result,,vec_pop_if_result
alloc::vec::Vec::push,vec-sequence-mutation,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::push_mut,vec-sequence-mutation,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::remove,vec-sequence-mutation,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::reserve,vec-capacity-allocation-state,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::reserve_exact,vec-capacity-allocation-state,CapacitySpec::spec_capacity,CapacitySpec::spec_capacity,CapacitySpec::spec_capacity,,,CapacitySpec::spec_capacity,CapacitySpec::spec_capacity
alloc::vec::Vec::resize,vec-sequence-mutation,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::resize_with,vec-callback-trace-mutation,vec_resize_with_result,vec_resize_with_result,vec_resize_with_result,,vec_resize_with_result,,vec_resize_with_result
