module,display_path,canonical_path,origin_path,kind,declaration_id,stability,since,is_const,is_unsafe,is_async,abi,source_file,source_line,alias_approximate
alloc::alloc,alloc::alloc::Allocator::allocate,core::alloc::Allocator::allocate,core::alloc::Allocator::allocate,trait_method,core:34985,unstable,,False,False,False,Rust,core/src/alloc/mod.rs,211,False
alloc::alloc,alloc::alloc::Allocator::allocate_zeroed,core::alloc::Allocator::allocate_zeroed,core::alloc::Allocator::allocate_zeroed,trait_method,core:34986,unstable,,False,False,False,Rust,core/src/alloc/mod.rs,228,False
alloc::alloc,alloc::alloc::Allocator::by_ref,core::alloc::Allocator::by_ref,core::alloc::Allocator::by_ref,trait_method,core:34991,unstable,,False,False,False,Rust,core/src/alloc/mod.rs,442,False
alloc::alloc,alloc::alloc::Allocator::deallocate,core::alloc::Allocator::deallocate,core::alloc::Allocator::deallocate,trait_method,core:34987,unstable,,False,True,False,Rust,core/src/alloc/mod.rs,244,False
alloc::alloc,alloc::alloc::Allocator::grow,core::alloc::Allocator::grow,core::alloc::Allocator::grow,trait_method,core:34988,unstable,,False,True,False,Rust,core/src/alloc/mod.rs,284,False
alloc::alloc,alloc::alloc::Allocator::grow_zeroed,core::alloc::Allocator::grow_zeroed,core::alloc::Allocator::grow_zeroed,trait_method,core:34989,unstable,,False,True,False,Rust,core/src/alloc/mod.rs,347,False
alloc::alloc,alloc::alloc::Allocator::shrink,core::alloc::Allocator::shrink,core::alloc::Allocator::shrink,trait_method,core:34990,unstable,,False,True,False,Rust,core/src/alloc/mod.rs,412,False
alloc::alloc,alloc::alloc::GlobalAlloc::alloc,core::alloc::GlobalAlloc::alloc,core::alloc::global::GlobalAlloc::alloc,trait_method,core:34926,stable,1.28.0,False,True,False,Rust,core/src/alloc/global.rs,178,False
alloc::alloc,alloc::alloc::GlobalAlloc::alloc_zeroed,core::alloc::GlobalAlloc::alloc_zeroed,core::alloc::global::GlobalAlloc::alloc_zeroed,trait_method,core:34928,stable,1.28.0,False,True,False,Rust,core/src/alloc/global.rs,216,False
alloc::alloc,alloc::alloc::GlobalAlloc::dealloc,core::alloc::GlobalAlloc::dealloc,core::alloc::global::GlobalAlloc::dealloc,trait_method,core:34927,stable,1.28.0,False,True,False,Rust,core/src/alloc/global.rs,193,False
alloc::alloc,alloc::alloc::GlobalAlloc::realloc,core::alloc::GlobalAlloc::realloc,core::alloc::global::GlobalAlloc::realloc,trait_method,core:34929,stable,1.28.0,False,True,False,Rust,core/src/alloc/global.rs,286,False
alloc::alloc,alloc::alloc::Layout::adjust_alignment_to,core::alloc::Layout::adjust_alignment_to,core::alloc::layout::Layout::adjust_alignment_to,inherent_method,core:34946,unstable,,True,False,False,Rust,core/src/alloc/layout.rs,315,False
