canonical_path,representative_display_path,modules,kinds,stability,declaration_count,source_locations,has_approximate_alias
alloc::alloc::alloc,alloc::alloc::alloc,alloc::alloc;std::alloc,free_function,stable,1,alloc/src/alloc.rs:95,False
alloc::alloc::alloc_zeroed,alloc::alloc::alloc_zeroed,alloc::alloc;std::alloc,free_function,stable,1,alloc/src/alloc.rs:192,False
alloc::alloc::dealloc,alloc::alloc::dealloc,alloc::alloc;std::alloc,free_function,stable,1,alloc/src/alloc.rs:120,False
alloc::alloc::handle_alloc_error,alloc::alloc::handle_alloc_error,alloc::alloc;std::alloc,free_function,stable,1,alloc/src/alloc.rs:543,False
alloc::alloc::realloc,alloc::alloc::realloc,alloc::alloc;std::alloc,free_function,stable,1,alloc/src/alloc.rs:147,False
alloc::borrow::Cow::into_owned,alloc::borrow::Cow::into_owned,alloc::borrow;std::borrow,inherent_method,stable,1,alloc/src/borrow.rs:331,False
alloc::borrow::Cow::is_borrowed,alloc::borrow::Cow::is_borrowed,alloc::borrow;std::borrow,inherent_method,unstable,1,alloc/src/borrow.rs:235,False
alloc::borrow::Cow::is_owned,alloc::borrow::Cow::is_owned,alloc::borrow;std::borrow,inherent_method,unstable,1,alloc/src/borrow.rs:261,False
alloc::borrow::Cow::to_mut,alloc::borrow::Cow::to_mut,alloc::borrow;std::borrow,inherent_method,stable,1,alloc/src/borrow.rs:283,False
alloc::borrow::ToOwned::clone_into,alloc::borrow::ToOwned::clone_into,alloc::borrow;std::borrow,trait_method,stable,1,alloc/src/borrow.rs:66,False
alloc::borrow::ToOwned::to_owned,alloc::borrow::ToOwned::to_owned,alloc::borrow;std::borrow,trait_method,stable,1,alloc/src/borrow.rs:48,False
alloc::boxed::Box::allocator,alloc::boxed::Box::allocator,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:1891,False
alloc::boxed::Box::as_mut_ptr,alloc::boxed::Box::as_mut_ptr,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:1787,False
alloc::boxed::Box::as_non_null,alloc::boxed::Box::as_non_null,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:1879,False
alloc::boxed::Box::as_ptr,alloc::boxed::Box::as_ptr,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:1836,False
alloc::boxed::Box::assume_init,alloc::boxed::Box::assume_init,alloc::boxed,inherent_method,stable,2,alloc/src/boxed.rs:1201;alloc/src/boxed.rs:1270,False
alloc::boxed::Box::clone_from_ref,alloc::boxed::Box::clone_from_ref,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:794,False
alloc::boxed::Box::clone_from_ref_in,alloc::boxed::Box::clone_from_ref_in,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:840,False
alloc::boxed::Box::downcast,alloc::boxed::Box::downcast,alloc::boxed,inherent_method,stable,3,alloc/src/boxed/convert.rs:333;alloc/src/boxed/convert.rs:392;alloc/src/boxed/convert.rs:451,False
alloc::boxed::Box::downcast_unchecked,alloc::boxed::Box::downcast_unchecked,alloc::boxed,inherent_method,unstable,3,alloc/src/boxed/convert.rs:363;alloc/src/boxed/convert.rs:422;alloc/src/boxed/convert.rs:481,False
alloc::boxed::Box::from_non_null,alloc::boxed::Box::from_non_null,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:1380,False
alloc::boxed::Box::from_non_null_in,alloc::boxed::Box::from_non_null_in,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:1618,False
alloc::boxed::Box::from_raw,alloc::boxed::Box::from_raw,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:1324,False
alloc::boxed::Box::from_raw_in,alloc::boxed::Box::from_raw_in,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:1561,False
alloc::boxed::Box::into_array,alloc::boxed::Box::into_array,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:1162,False
alloc::boxed::Box::into_boxed_slice,alloc::boxed::Box::into_boxed_slice,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:724,False
alloc::boxed::Box::into_inner,alloc::boxed::Box::into_inner,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:742,False
alloc::boxed::Box::into_non_null,alloc::boxed::Box::into_non_null,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:1501,False
alloc::boxed::Box::into_non_null_with_allocator,alloc::boxed::Box::into_non_null_with_allocator,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:1733,False
alloc::boxed::Box::into_pin,alloc::boxed::Box::into_pin,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:1980,False
alloc::boxed::Box::into_raw,alloc::boxed::Box::into_raw,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:1434,False
alloc::boxed::Box::into_raw_with_allocator,alloc::boxed::Box::into_raw_with_allocator,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:1672,False
alloc::boxed::Box::leak,alloc::boxed::Box::leak,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:1940,False
alloc::boxed::Box::map,alloc::boxed::Box::map,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:446,False
alloc::boxed::Box::new_in,alloc::boxed::Box::new_in,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:522,False
alloc::boxed::Box::new_uninit_in,alloc::boxed::Box::new_uninit_in,alloc::boxed,inherent_method,unstable,1,alloc/src/boxed.rs:576,False
alloc::boxed::Box::new_uninit_slice,alloc::boxed::Box::new_uninit_slice,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:918,False
