canonical_path,representative_display_path,modules,kinds,stability,declaration_count,source_locations,has_approximate_alias
alloc::alloc::alloc,alloc::alloc::alloc,alloc::alloc;std::alloc,free_function,stable,1,alloc/src/alloc.rs:95,False
alloc::alloc::alloc_zeroed,alloc::alloc::alloc_zeroed,alloc::alloc;std::alloc,free_function,stable,1,alloc/src/alloc.rs:192,False
alloc::alloc::dealloc,alloc::alloc::dealloc,alloc::alloc;std::alloc,free_function,stable,1,alloc/src/alloc.rs:120,False
alloc::alloc::handle_alloc_error,alloc::alloc::handle_alloc_error,alloc::alloc;std::alloc,free_function,stable,1,alloc/src/alloc.rs:543,False
alloc::alloc::realloc,alloc::alloc::realloc,alloc::alloc;std::alloc,free_function,stable,1,alloc/src/alloc.rs:147,False
alloc::borrow::Cow::into_owned,alloc::borrow::Cow::into_owned,alloc::borrow;std::borrow,inherent_method,stable,1,alloc/src/borrow.rs:331,False
alloc::borrow::Cow::to_mut,alloc::borrow::Cow::to_mut,alloc::borrow;std::borrow,inherent_method,stable,1,alloc/src/borrow.rs:283,False
alloc::borrow::ToOwned::clone_into,alloc::borrow::ToOwned::clone_into,alloc::borrow;std::borrow,trait_method,stable,1,alloc/src/borrow.rs:66,False
alloc::borrow::ToOwned::to_owned,alloc::borrow::ToOwned::to_owned,alloc::borrow;std::borrow,trait_method,stable,1,alloc/src/borrow.rs:48,False
alloc::boxed::Box::as_mut_ptr,alloc::boxed::Box::as_mut_ptr,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:1787,False
alloc::boxed::Box::as_ptr,alloc::boxed::Box::as_ptr,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:1836,False
alloc::boxed::Box::assume_init,alloc::boxed::Box::assume_init,alloc::boxed,inherent_method,stable,2,alloc/src/boxed.rs:1201;alloc/src/boxed.rs:1270,False
alloc::boxed::Box::downcast,alloc::boxed::Box::downcast,alloc::boxed,inherent_method,stable,3,alloc/src/boxed/convert.rs:333;alloc/src/boxed/convert.rs:392;alloc/src/boxed/convert.rs:451,False
alloc::boxed::Box::from_raw,alloc::boxed::Box::from_raw,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:1324,False
alloc::boxed::Box::into_pin,alloc::boxed::Box::into_pin,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:1980,False
alloc::boxed::Box::into_raw,alloc::boxed::Box::into_raw,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:1434,False
alloc::boxed::Box::leak,alloc::boxed::Box::leak,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:1940,False
alloc::boxed::Box::new_uninit_slice,alloc::boxed::Box::new_uninit_slice,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:918,False
alloc::boxed::Box::new_zeroed,alloc::boxed::Box::new_zeroed,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:342,False
alloc::boxed::Box::new_zeroed_slice,alloc::boxed::Box::new_zeroed_slice,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:941,False
alloc::boxed::Box::pin,alloc::boxed::Box::pin,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:357,False
alloc::boxed::Box::write,alloc::boxed::Box::write,alloc::boxed,inherent_method,stable,1,alloc/src/boxed.rs:1235,False
alloc::boxed::BoxedArrayIntoIter::as_mut_slice,alloc::boxed::BoxedArrayIntoIter::as_mut_slice,alloc::boxed,inherent_method,stable,1,alloc/src/boxed/iter.rs:248,False
alloc::boxed::BoxedArrayIntoIter::as_slice,alloc::boxed::BoxedArrayIntoIter::as_slice,alloc::boxed,inherent_method,stable,1,alloc/src/boxed/iter.rs:242,False
alloc::collections::BTreeMap::append,alloc::collections::BTreeMap::append,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1236,False
alloc::collections::BTreeMap::entry,alloc::collections::BTreeMap::entry,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1501,False
alloc::collections::BTreeMap::extract_if,alloc::collections::BTreeMap::extract_if,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1624,False
alloc::collections::BTreeMap::first_entry,alloc::collections::BTreeMap::first_entry,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:838,False
alloc::collections::BTreeMap::first_key_value,alloc::collections::BTreeMap::first_key_value,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:810,False
alloc::collections::BTreeMap::get_key_value,alloc::collections::BTreeMap::get_key_value,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:783,False
alloc::collections::BTreeMap::get_mut,alloc::collections::BTreeMap::get_mut,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1006,False
alloc::collections::BTreeMap::into_keys,alloc::collections::BTreeMap::into_keys,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1682,False
alloc::collections::BTreeMap::into_values,alloc::collections::BTreeMap::into_values,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1704,False
alloc::collections::BTreeMap::iter_mut,alloc::collections::BTreeMap::iter_mut,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:2734,False
