module,path,file,line,syntax,parser,scope
alloc::alloc,alloc::alloc::AllocError,src/kernel/src/mm/kheap.rs,20,import,rust,production
alloc::alloc,alloc::alloc::GlobalAlloc,src/kernel/src/mm/kheap.rs,20,import,rust,production
alloc::alloc,alloc::alloc::Layout,src/kernel/src/mm/kheap.rs,20,import,rust,production
alloc::alloc,alloc::alloc::alloc,src/libs/libc_stdlib/src/block_header.rs,8,import,rust,production
alloc::alloc,alloc::alloc::dealloc,src/libs/libc_stdlib/src/block_header.rs,8,import,rust,production
alloc::alloc,alloc::alloc::Layout,src/libs/sysalloc/src/allocator.rs,16,import,rust,production
alloc::alloc,alloc::alloc::alloc,src/libs/syscall/src/safe/mem/stack.rs,8,import,rust,production
alloc::alloc,alloc::alloc::dealloc,src/libs/syscall/src/safe/mem/stack.rs,8,import,rust,production
alloc::alloc,alloc::alloc::Layout,src/tests/integration/test-rust-kernel/src/detach.rs,18,import,rust,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/detach.rs,63,qualified_path,rust,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/detach.rs,65,qualified_path,rust,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/detach.rs,120,qualified_path,rust,test_or_benchmark
alloc::alloc,alloc::alloc::Layout,src/tests/integration/test-rust-kernel/src/duplicate.rs,17,import,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/duplicate.rs,197,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/duplicate.rs,200,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/duplicate.rs,292,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/duplicate.rs,332,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/duplicate.rs,335,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/duplicate.rs,340,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/duplicate.rs,343,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/duplicate.rs,462,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/duplicate.rs,463,qualified_path,verus,test_or_benchmark
