api_path,record_count,category,record_categories
alloc::boxed::Box::new,1,complete_all_records,complete
alloc::boxed::Box::new_uninit,1,no_local_postcondition,no_local_postcondition
alloc::boxed::box_assume_init_into_vec_unsafe,1,complete_all_records,complete
alloc::collections::BTreeMap::clear,1,complete_all_records,complete
alloc::collections::BTreeMap::contains_key,2,unknown,unknown;unknown
alloc::collections::BTreeMap::get,2,unknown,unknown;unknown
alloc::collections::BTreeMap::insert,1,unknown,unknown
alloc::collections::BTreeMap::is_empty,1,complete_all_records,complete
alloc::collections::BTreeMap::iter,1,unknown,unknown
alloc::collections::BTreeMap::keys,1,unknown,unknown
alloc::collections::BTreeMap::len,1,complete_all_records,complete
alloc::collections::BTreeMap::new,1,complete_all_records,complete
alloc::collections::BTreeMap::remove,2,unknown,unknown;unknown
alloc::collections::BTreeMap::values,1,unknown,unknown
alloc::collections::BTreeSet::clear,1,complete_all_records,complete
alloc::collections::BTreeSet::contains,1,unknown,unknown
alloc::collections::BTreeSet::get,2,unknown,unknown;unknown
alloc::collections::BTreeSet::insert,1,unknown,unknown
alloc::collections::BTreeSet::is_empty,1,complete_all_records,complete
alloc::collections::BTreeSet::iter,1,unknown,unknown
alloc::collections::BTreeSet::len,1,complete_all_records,complete
alloc::collections::BTreeSet::new,1,complete_all_records,complete
alloc::collections::BTreeSet::remove,1,unknown,unknown
alloc::collections::BinaryHeap::append,1,complete_all_records,complete
alloc::collections::BinaryHeap::as_slice,1,unknown,unknown
alloc::collections::BinaryHeap::capacity,1,complete_all_records,complete
alloc::collections::BinaryHeap::clear,1,complete_all_records,complete
alloc::collections::BinaryHeap::into_sorted_vec,1,unknown,unknown
alloc::collections::BinaryHeap::into_vec,1,unknown,unknown
alloc::collections::BinaryHeap::is_empty,1,complete_all_records,complete
alloc::collections::BinaryHeap::len,1,complete_all_records,complete
alloc::collections::BinaryHeap::new,1,complete_all_records,complete
alloc::collections::BinaryHeap::peek,1,unknown,unknown
alloc::collections::BinaryHeap::pop,1,unknown,unknown
alloc::collections::BinaryHeap::push,1,complete_all_records,complete
alloc::collections::BinaryHeap::reserve,1,complete_all_records,complete
alloc::collections::BinaryHeap::reserve_exact,1,complete_all_records,complete
alloc::collections::BinaryHeap::shrink_to,1,complete_all_records,complete
alloc::collections::BinaryHeap::shrink_to_fit,1,complete_all_records,complete
alloc::collections::BinaryHeap::try_reserve,1,unknown,unknown
alloc::collections::BinaryHeap::try_reserve_exact,1,unknown,unknown
alloc::collections::BinaryHeap::with_capacity,1,complete_all_records,complete
alloc::collections::LinkedList::append,1,complete_all_records,complete
alloc::collections::LinkedList::back,1,complete_all_records,complete
alloc::collections::LinkedList::clear,1,complete_all_records,complete
alloc::collections::LinkedList::contains,1,complete_all_records,complete
alloc::collections::LinkedList::front,1,complete_all_records,complete
alloc::collections::LinkedList::is_empty,1,complete_all_records,complete
alloc::collections::LinkedList::len,1,complete_all_records,complete
alloc::collections::LinkedList::new,1,complete_all_records,complete
alloc::collections::LinkedList::pop_back,1,complete_all_records,complete
alloc::collections::LinkedList::pop_front,1,complete_all_records,complete
alloc::collections::LinkedList::push_back,1,complete_all_records,complete
alloc::collections::LinkedList::push_front,1,complete_all_records,complete
alloc::collections::LinkedList::split_off,1,complete_all_records,complete
alloc::collections::VecDeque::capacity,1,complete_all_records,complete
alloc::collections::VecDeque::shrink_to,1,complete_all_records,complete
alloc::collections::VecDeque::shrink_to_fit,1,complete_all_records,complete
alloc::collections::VecDeque::try_reserve,1,unknown,unknown
alloc::collections::vec_deque::VecDeque::append,1,complete_all_records,complete
alloc::collections::vec_deque::VecDeque::as_slices,1,unknown,unknown
alloc::collections::vec_deque::VecDeque::back,1,complete_all_records,complete
alloc::collections::vec_deque::VecDeque::clear,1,complete_all_records,complete
alloc::collections::vec_deque::VecDeque::contains,1,complete_all_records,complete
alloc::collections::vec_deque::VecDeque::front,1,complete_all_records,complete
alloc::collections::vec_deque::VecDeque::get,1,complete_all_records,complete
alloc::collections::vec_deque::VecDeque::index,1,complete_all_records,complete
