id,api_path,raw_target,source_file,source_line,verdict,trust_level
array.rs__L116__a__T__N__as__core__iter__IntoIterator__into_iter,core::iter::IntoIterator::into_iter,<&'a [T; N] as core::iter::IntoIterator>::into_iter,array.rs,116,downgraded,C
array.rs__L120__a__T__N__as__core__iter__IntoIterator__into_iter,core::iter::IntoIterator::into_iter,<&'a [T; N] as core::iter::IntoIterator>::into_iter,array.rs,120,downgraded,C
array.rs__L143__T__N__as_slice,core::array::as_slice,<[T; N]>::as_slice,array.rs,143,retained,B
float.rs__L100__f64__as__Clone__clone,core::clone::Clone::clone,<f64 as Clone>::clone,float.rs,100,retained,A
float.rs__L95__f32__as__Clone__clone,core::clone::Clone::clone,<f32 as Clone>::clone,float.rs,95,retained,A
layout.rs__L101__core__mem__align_of_val__V,core::mem::align_of_val,core::mem::align_of_val::<V>,layout.rs,101,downgraded,C
layout.rs__L77__core__mem__size_of__V,core::mem::size_of,core::mem::size_of::<V>,layout.rs,77,downgraded,D
layout.rs__L85__core__mem__align_of__V,core::mem::align_of,core::mem::align_of::<V>,layout.rs,85,downgraded,D
layout.rs__L93__core__mem__size_of_val__V,core::mem::size_of_val,core::mem::size_of_val::<V>,layout.rs,93,downgraded,D
raw_ptr.rs__L198__mut__T__as__PartialEq__mut__T__eq,core::cmp::PartialEq::eq,<*mut T as PartialEq<*mut T>>::eq,raw_ptr.rs,198,downgraded,C
raw_ptr.rs__L221__const__T__as__PartialEq__const__T__eq,core::cmp::PartialEq::eq,<*const T as PartialEq<*const T>>::eq,raw_ptr.rs,221,downgraded,C
raw_ptr.rs__L401__core__ptr__null,core::ptr::null,core::ptr::null,raw_ptr.rs,401,retained,B
raw_ptr.rs__L403__core__ptr__null,core::ptr::null,core::ptr::null,raw_ptr.rs,403,retained,B
raw_ptr.rs__L422__core__ptr__null_mut,core::ptr::null_mut,core::ptr::null_mut,raw_ptr.rs,422,retained,B
raw_ptr.rs__L424__core__ptr__null_mut,core::ptr::null_mut,core::ptr::null_mut,raw_ptr.rs,424,retained,B
slice.rs__L83__T__len,core::slice::len,<[T]>::len,slice.rs,83,downgraded,C
slice.rs__L93__T__is_empty,core::slice::is_empty,<[T]>::is_empty,slice.rs,93,retained,B
std_specs__alloc.rs__L15__alloc__boxed__box_assume_init_into_vec_unsafe,alloc::boxed::box_assume_init_into_vec_unsafe,alloc::boxed::box_assume_init_into_vec_unsafe,std_specs/alloc.rs,15,retained,B
std_specs__alloc.rs__L26__alloc__intrinsics__write_box_via_move,alloc::intrinsics::write_box_via_move,alloc::intrinsics::write_box_via_move,std_specs/alloc.rs,26,downgraded,B
std_specs__alloc.rs__L36__alloc__boxed__Box__T__new_uninit,alloc::boxed::Box::new_uninit,alloc::boxed::Box::<T>::new_uninit,std_specs/alloc.rs,36,downgraded,B
