target,classification,category,owner,kinds,classification_reasons,related_vstd_contract_count,returns_reference,returns_mutable_reference,has_mutable_output_state,has_closure,has_unsafe,has_raw_pointer
alloc::alloc::alloc,unsafe_or_representation_sensitive,memory_pointer,alloc::alloc,free_function,unsafe_or_raw_pointer_signature;raw_pointer_result,0,False,False,False,False,True,True
alloc::alloc::alloc_zeroed,unsafe_or_representation_sensitive,memory_pointer,alloc::alloc,free_function,unsafe_or_raw_pointer_signature;raw_pointer_result,0,False,False,False,False,True,True
alloc::alloc::dealloc,unsafe_or_representation_sensitive,memory_pointer,alloc::alloc,free_function,unsafe_or_raw_pointer_signature,0,False,False,False,False,True,True
alloc::alloc::handle_alloc_error,needs_new_vstd_abstraction,memory_pointer,alloc::alloc,free_function,no_existing_contract_for_owner_or_module,0,False,False,False,False,False,False
alloc::alloc::realloc,unsafe_or_representation_sensitive,memory_pointer,alloc::alloc,free_function,unsafe_or_raw_pointer_signature;raw_pointer_result,0,False,False,False,False,True,True
alloc::borrow::Cow::into_owned,associated_type_or_projection,data_structure,alloc::borrow::Cow,inherent_method,associated_type_signature_requires_manual_integration,0,False,False,False,False,False,False
alloc::borrow::Cow::to_mut,determinism_checker_unsupported,data_structure,alloc::borrow::Cow,inherent_method,mutable_reference_return_not_supported,0,True,True,True,False,False,False
alloc::borrow::ToOwned::clone_into,trait_contract_integration,trait_method,alloc::borrow::ToOwned,trait_method,requires_external_trait_specification_edit,0,False,False,True,False,False,False
alloc::borrow::ToOwned::to_owned,trait_contract_integration,trait_method,alloc::borrow::ToOwned,trait_method,requires_external_trait_specification_edit,0,False,False,False,False,False,False
alloc::boxed::Box::as_mut_ptr,unsafe_or_representation_sensitive,data_structure,alloc::boxed::Box,inherent_method,unsafe_or_raw_pointer_signature;raw_pointer_result,2,False,False,True,False,False,True
alloc::boxed::Box::as_ptr,unsafe_or_representation_sensitive,data_structure,alloc::boxed::Box,inherent_method,unsafe_or_raw_pointer_signature;raw_pointer_result,2,False,False,False,False,False,True
alloc::boxed::Box::assume_init,unsafe_or_representation_sensitive,data_structure,alloc::boxed::Box,inherent_method,unsafe_or_raw_pointer_signature;multiple_rust_declarations_share_path,2,False,False,False,False,True,False
alloc::boxed::Box::downcast,unsafe_or_representation_sensitive,data_structure,alloc::boxed::Box,inherent_method,multiple_rust_declarations_share_path,2,False,False,False,False,False,False
alloc::boxed::Box::from_raw,unsafe_or_representation_sensitive,data_structure,alloc::boxed::Box,inherent_method,unsafe_or_raw_pointer_signature,2,False,False,False,False,True,True
alloc::boxed::Box::into_pin,ownership_or_uninitialized_model,data_structure,alloc::boxed::Box,inherent_method,requires_linear_ownership_or_initialization_model,2,False,False,False,False,False,False
