target,status,manifest_declaration,manifest_generic_params,assume_spec_generic_params,generic_param_kinds_match,manifest_const_generics,assume_spec_const_generics,const_generic_match,manifest_trait_bounds,assume_spec_trait_bounds,trait_bounds_match,manifest_where_clause_bounds,assume_spec_where_clause_bounds,where_clause_bounds_satisfied,missing_bounds,extra_bounds,missing_where_clause_bounds,extra_where_clause_bounds,error
alloc::collections::BTreeMap::append,ok,alloc/src/collections/btree/map.rs:1236,g0:type:K:owner;g1:type:V:owner;g2:type:A:owner,g0:type:Key;g1:type:Value;g2:type:A,True,,,True,g0:Ord;g2:Allocator;g2:Clone,g0:Ord;g2:Allocator;g2:Clone,True,g0:Ord;g2:Clone,g0:Ord;g2:Clone,True,,,,,
alloc::collections::BTreeMap::first_key_value,ok,alloc/src/collections/btree/map.rs:810,g0:type:K:owner;g1:type:V:owner;g2:type:A:owner,lifetime:lifetime:'a;g0:type:Key;g1:type:Value;g2:type:A,True,,,True,g0:Ord;g2:Allocator;g2:Clone,g0:Ord;g2:Allocator;g2:Clone,True,g0:Ord,,True,,,,,
alloc::collections::BTreeMap::get_mut,ok,alloc/src/collections/btree/map.rs:1006,g0:type:K:owner;g1:type:V:owner;g2:type:A:owner;g3:type:Q:declaration,lifetime:lifetime:'a;g0:type:Key;g1:type:Value;g2:type:A;g3:type:Q,True,,,True,g0:Borrow<g3>;g0:Ord;g2:Allocator;g2:Clone;g3:?Sized;g3:Ord,g0:Borrow<g3>;g0:Ord;g2:Allocator;g2:Clone;g3:?Sized;g3:Ord,True,g0:Borrow<g3>;g0:Ord;g3:?Sized;g3:Ord,,True,,,,,
alloc::collections::BTreeMap::last_key_value,ok,alloc/src/collections/btree/map.rs:893,g0:type:K:owner;g1:type:V:owner;g2:type:A:owner,lifetime:lifetime:'a;g0:type:Key;g1:type:Value;g2:type:A,True,,,True,g0:Ord;g2:Allocator;g2:Clone,g0:Ord;g2:Allocator;g2:Clone,True,g0:Ord,,True,,,,,
alloc::collections::BTreeMap::pop_first,ok,alloc/src/collections/btree/map.rs:872,g0:type:K:owner;g1:type:V:owner;g2:type:A:owner,g0:type:Key;g1:type:Value;g2:type:A,True,,,True,g0:Ord;g2:Allocator;g2:Clone,g0:Ord;g2:Allocator;g2:Clone,True,g0:Ord,,True,,,,,
alloc::collections::BTreeMap::pop_last,ok,alloc/src/collections/btree/map.rs:955,g0:type:K:owner;g1:type:V:owner;g2:type:A:owner,g0:type:Key;g1:type:Value;g2:type:A,True,,,True,g0:Ord;g2:Allocator;g2:Clone,g0:Ord;g2:Allocator;g2:Clone,True,g0:Ord,,True,,,,,
alloc::collections::BTreeSet::append,ok,alloc/src/collections/btree/set.rs:1139,g0:type:T:owner;g1:type:A:owner,g0:type:Key;g1:type:A,True,,,True,g0:Ord;g1:Allocator;g1:Clone,g0:Ord;g1:Allocator;g1:Clone,True,g0:Ord;g1:Clone,g0:Ord;g1:Clone,True,,,,,
alloc::collections::BTreeSet::first,ok,alloc/src/collections/btree/set.rs:792,g0:type:T:owner;g1:type:A:owner,lifetime:lifetime:'a;g0:type:Key;g1:type:A,True,,,True,g0:Ord;g1:Allocator;g1:Clone,g0:Ord;g1:Allocator;g1:Clone,True,g0:Ord,,True,,,,,
alloc::collections::BTreeSet::is_disjoint,ok,alloc/src/collections/btree/set.rs:658,g0:type:T:owner;g1:type:A:owner,g0:type:Key;g1:type:A,True,,,True,g0:Ord;g1:Allocator;g1:Clone,g0:Ord;g1:Allocator;g1:Clone,True,g0:Ord,,True,,,,,
alloc::collections::BTreeSet::is_subset,ok,alloc/src/collections/btree/set.rs:684,g0:type:T:owner;g1:type:A:owner,g0:type:Key;g1:type:A,True,,,True,g0:Ord;g1:Allocator;g1:Clone,g0:Ord;g1:Allocator;g1:Clone,True,g0:Ord,g0:Ord,True,,,,,
