target,status,manifest_declaration,manifest_input_arity,assume_spec_input_arity,manifest_input_shapes,assume_spec_input_shapes,input_arity_match,input_shape_match,manifest_output_shape,assume_spec_output_shape,output_shape_match,error
alloc::collections::BTreeMap::append,ok,alloc/src/collections/btree/map.rs:1236,2,2,"mut_ref<path:BTreeMap<generic,generic,generic>>;mut_ref<path:BTreeMap<generic,generic,generic>>","mut_ref<path:BTreeMap<generic,generic,generic>>;mut_ref<path:BTreeMap<generic,generic,generic>>",True,True,unit,unit,True,
alloc::collections::BTreeMap::first_key_value,ok,alloc/src/collections/btree/map.rs:810,1,1,"shared_ref<path:BTreeMap<generic,generic,generic>>","shared_ref<path:BTreeMap<generic,generic,generic>>",True,True,"path:Option<tuple(shared_ref<generic>,shared_ref<generic>)>","path:Option<tuple(shared_ref<generic>,shared_ref<generic>)>",True,
alloc::collections::BTreeMap::get_mut,ok,alloc/src/collections/btree/map.rs:1006,2,2,"mut_ref<path:BTreeMap<generic,generic,generic>>;shared_ref<generic>","mut_ref<path:BTreeMap<generic,generic,generic>>;shared_ref<generic>",True,True,path:Option<mut_ref<generic>>,path:Option<mut_ref<generic>>,True,
alloc::collections::BTreeMap::last_key_value,ok,alloc/src/collections/btree/map.rs:893,1,1,"shared_ref<path:BTreeMap<generic,generic,generic>>","shared_ref<path:BTreeMap<generic,generic,generic>>",True,True,"path:Option<tuple(shared_ref<generic>,shared_ref<generic>)>","path:Option<tuple(shared_ref<generic>,shared_ref<generic>)>",True,
alloc::collections::BTreeMap::pop_first,ok,alloc/src/collections/btree/map.rs:872,1,1,"mut_ref<path:BTreeMap<generic,generic,generic>>","mut_ref<path:BTreeMap<generic,generic,generic>>",True,True,"path:Option<tuple(generic,generic)>","path:Option<tuple(generic,generic)>",True,
alloc::collections::BTreeMap::pop_last,ok,alloc/src/collections/btree/map.rs:955,1,1,"mut_ref<path:BTreeMap<generic,generic,generic>>","mut_ref<path:BTreeMap<generic,generic,generic>>",True,True,"path:Option<tuple(generic,generic)>","path:Option<tuple(generic,generic)>",True,
alloc::collections::BTreeSet::append,ok,alloc/src/collections/btree/set.rs:1139,2,2,"mut_ref<path:BTreeSet<generic,generic>>;mut_ref<path:BTreeSet<generic,generic>>","mut_ref<path:BTreeSet<generic,generic>>;mut_ref<path:BTreeSet<generic,generic>>",True,True,unit,unit,True,
alloc::collections::BTreeSet::first,ok,alloc/src/collections/btree/set.rs:792,1,1,"shared_ref<path:BTreeSet<generic,generic>>","shared_ref<path:BTreeSet<generic,generic>>",True,True,path:Option<shared_ref<generic>>,path:Option<shared_ref<generic>>,True,
alloc::collections::BTreeSet::is_disjoint,ok,alloc/src/collections/btree/set.rs:658,2,2,"shared_ref<path:BTreeSet<generic,generic>>;shared_ref<path:BTreeSet<generic,generic>>","shared_ref<path:BTreeSet<generic,generic>>;shared_ref<path:BTreeSet<generic,generic>>",True,True,primitive:bool,primitive:bool,True,
alloc::collections::BTreeSet::is_subset,ok,alloc/src/collections/btree/set.rs:684,2,2,"shared_ref<path:BTreeSet<generic,generic>>;shared_ref<path:BTreeSet<generic,generic>>","shared_ref<path:BTreeSet<generic,generic>>;shared_ref<path:BTreeSet<generic,generic>>",True,True,primitive:bool,primitive:bool,True,
alloc::collections::BTreeSet::is_superset,ok,alloc/src/collections/btree/set.rs:765,2,2,"shared_ref<path:BTreeSet<generic,generic>>;shared_ref<path:BTreeSet<generic,generic>>","shared_ref<path:BTreeSet<generic,generic>>;shared_ref<path:BTreeSet<generic,generic>>",True,True,primitive:bool,primitive:bool,True,
