target,status,binding_count,binding,binding_name,binding_owner,binding_module,matched_expected_source,matched_expected_owner,matched_expected_module,error
alloc::collections::BTreeMap::append,ok,1,"BTreeMap::<Key,Value,A>::append",append,BTreeMap,,manifest target method path,BTreeMap,alloc::collections,
alloc::collections::BTreeMap::first_key_value,ok,1,"alloc::collections::BTreeMap::<Key,Value,A>::first_key_value",first_key_value,BTreeMap,alloc::collections,manifest target method path,BTreeMap,alloc::collections,
alloc::collections::BTreeMap::get_mut,ok,1,"alloc::collections::BTreeMap::<Key,Value,A>::get_mut::<Q>",get_mut,BTreeMap,alloc::collections,manifest target method path,BTreeMap,alloc::collections,
alloc::collections::BTreeMap::last_key_value,ok,1,"BTreeMap::<Key,Value,A>::last_key_value",last_key_value,BTreeMap,,manifest target method path,BTreeMap,alloc::collections,
alloc::collections::BTreeMap::pop_first,ok,1,"alloc::collections::BTreeMap::<Key,Value,A>::pop_first",pop_first,BTreeMap,alloc::collections,manifest target method path,BTreeMap,alloc::collections,
alloc::collections::BTreeMap::pop_last,ok,1,"BTreeMap::<Key,Value,A>::pop_last",pop_last,BTreeMap,,manifest target method path,BTreeMap,alloc::collections,
alloc::collections::BTreeSet::append,ok,1,"alloc::collections::BTreeSet::<Key,A>::append",append,BTreeSet,alloc::collections,manifest target method path,BTreeSet,alloc::collections,
alloc::collections::BTreeSet::first,ok,1,"BTreeSet::<Key,A>::first",first,BTreeSet,,manifest target method path,BTreeSet,alloc::collections,
alloc::collections::BTreeSet::is_disjoint,ok,1,"BTreeSet::<Key,A>::is_disjoint",is_disjoint,BTreeSet,,manifest target method path,BTreeSet,alloc::collections,
alloc::collections::BTreeSet::is_subset,ok,1,"BTreeSet::<Key,A>::is_subset",is_subset,BTreeSet,,manifest target method path,BTreeSet,alloc::collections,
alloc::collections::BTreeSet::is_superset,ok,1,"alloc::collections::BTreeSet::<Key,A>::is_superset",is_superset,BTreeSet,alloc::collections,manifest target method path,BTreeSet,alloc::collections,
alloc::collections::BTreeSet::last,ok,1,"alloc::collections::BTreeSet::<T,A>::last",last,BTreeSet,alloc::collections,manifest target method path,BTreeSet,alloc::collections,
alloc::collections::BTreeSet::pop_first,ok,1,"BTreeSet::<T,A>::pop_first",pop_first,BTreeSet,,manifest target method path,BTreeSet,alloc::collections,
alloc::collections::BTreeSet::pop_last,ok,1,"BTreeSet::<Key,A>::pop_last",pop_last,BTreeSet,,manifest target method path,BTreeSet,alloc::collections,
alloc::collections::BTreeSet::replace,ok,1,"BTreeSet::<Key,A>::replace",replace,BTreeSet,,manifest target method path,BTreeSet,alloc::collections,
alloc::collections::LinkedList::back_mut,ok,1,"LinkedList::<T,A>::back_mut",back_mut,LinkedList,,manifest target method path,LinkedList,alloc::collections,
alloc::collections::VecDeque::binary_search,ok,1,"VecDeque::<T,A>::binary_search",binary_search,VecDeque,,manifest target method path,VecDeque,alloc::collections,
alloc::ffi::CString::from_vec_with_nul_unchecked,ok,1,alloc::ffi::CString::from_vec_with_nul_unchecked,from_vec_with_nul_unchecked,CString,alloc::ffi,manifest target method path,CString,alloc::ffi,
alloc::string::String::as_bytes,ok,1,String::as_bytes,as_bytes,String,,manifest target method path,String,alloc::string,
alloc::string::String::clear,ok,1,String::clear,clear,String,,manifest target method path,String,alloc::string,
alloc::string::String::from_utf8_unchecked,ok,1,alloc::string::String::from_utf8_unchecked,from_utf8_unchecked,String,alloc::string,manifest target method path,String,alloc::string,
alloc::string::String::insert,ok,1,alloc::string::String::insert,insert,String,alloc::string,manifest target method path,String,alloc::string,
alloc::string::String::insert_str,ok,1,alloc::string::String::insert_str,insert_str,String,alloc::string,manifest target method path,String,alloc::string,
alloc::string::String::into_bytes,ok,1,alloc::string::String::into_bytes,into_bytes,String,alloc::string,manifest target method path,String,alloc::string,
alloc::string::String::is_empty,ok,1,alloc::string::String::is_empty,is_empty,String,alloc::string,manifest target method path,String,alloc::string,
alloc::string::String::len,ok,1,alloc::string::String::len,len,String,alloc::string,manifest target method path,String,alloc::string,
alloc::string::String::pop,ok,1,alloc::string::String::pop,pop,String,alloc::string,manifest target method path,String,alloc::string,
alloc::string::String::push,ok,1,alloc::string::String::push,push,String,alloc::string,manifest target method path,String,alloc::string,
alloc::string::String::push_str,ok,1,alloc::string::String::push_str,push_str,String,alloc::string,manifest target method path,String,alloc::string,
alloc::string::String::remove,ok,1,String::remove,remove,String,,manifest target method path,String,alloc::string,
alloc::string::String::replace_range,ok,1,alloc::string::String::replace_range,replace_range,String,alloc::string,manifest target method path,String,alloc::string,
alloc::string::String::split_off,ok,1,alloc::string::String::split_off,split_off,String,alloc::string,manifest target method path,String,alloc::string,
alloc::string::String::truncate,ok,1,String::truncate,truncate,String,,manifest target method path,String,alloc::string,
alloc::vec::Vec::dedup,ok,1,"alloc::vec::Vec::<T,A>::dedup",dedup,Vec,alloc::vec,manifest target method path,Vec,alloc::vec,
alloc::vec::Vec::into_boxed_slice,ok,1,"alloc::vec::Vec::<T,A>::into_boxed_slice",into_boxed_slice,Vec,alloc::vec,manifest target method path,Vec,alloc::vec,
alloc::vec::Vec::into_flattened,ok,1,"alloc::vec::Vec::<[T;N],A>::into_flattened",into_flattened,Vec,alloc::vec,manifest target method path,Vec,alloc::vec,
core::array::as_mut_slice,ok,1,<[T;N]>::as_mut_slice,as_mut_slice,array,,manifest declaration receiver,array,core::array,
core::array::each_mut,ok,1,<[T;N]>::each_mut,each_mut,array,,manifest declaration receiver,array,core::array,
core::array::each_ref,ok,1,<[T;N]>::each_ref,each_ref,array,,manifest declaration receiver,array,core::array,
core::array::from_mut,ok,1,core::array::from_mut::<T>,from_mut,,core::array,manifest target free_function path,,core::array,
core::array::from_ref,ok,1,core::array::from_ref,from_ref,,core::array,manifest target free_function path,,core::array,
core::cmp::max,ok,1,core::cmp::max::<T>,max,,core::cmp,manifest target free_function path,,core::cmp,
core::cmp::min,ok,1,core::cmp::min,min,,core::cmp,manifest target free_function path,,core::cmp,
core::convert::identity,ok,1,core::convert::identity::<T>,identity,,core::convert,manifest target free_function path,,core::convert,
core::hint::black_box,ok,1,core::hint::black_box,black_box,,core::hint,manifest target free_function path,,core::hint,
core::hint::select_unpredictable,ok,1,core::hint::select_unpredictable,select_unpredictable,,core::hint,manifest target free_function path,,core::hint,
core::mem::min_align_of,ok,1,core::mem::min_align_of::<T>,min_align_of,,core::mem,manifest target free_function path,,core::mem,
core::mem::min_align_of_val,ok,1,core::mem::min_align_of_val,min_align_of_val,,core::mem,manifest target free_function path,,core::mem,
core::mem::replace,ok,1,core::mem::replace,replace,,core::mem,manifest target free_function path,,core::mem,
core::ops::Range::is_empty,ok,1,core::ops::Range::<Idx>::is_empty,is_empty,Range,core::ops,manifest target method path,Range,core::ops,
core::ops::RangeInclusive::into_inner,ok,1,core::ops::RangeInclusive::<Idx>::into_inner,into_inner,RangeInclusive,core::ops,manifest target method path,RangeInclusive,core::ops,
core::ops::RangeInclusive::is_empty,ok,1,core::ops::RangeInclusive::<Idx>::is_empty,is_empty,RangeInclusive,core::ops,manifest target method path,RangeInclusive,core::ops,
core::option::Option::and,ok,1,core::option::Option::<T>::and,and,Option,core::option,manifest target method path,Option,core::option,
core::option::Option::flatten,ok,1,Option::<Option<T>>::flatten,flatten,Option,,manifest target method path,Option,core::option,
core::option::Option::or,ok,1,core::option::Option::<T>::or,or,Option,core::option,manifest target method path,Option,core::option,
