target,safe_name,batch_result_present,summary_artifact_present,summary_artifact_valid,batch_mismatched_fields,summary_mismatched_fields,field_mismatch_count,validation_passed,summary_artifact_path
alloc::alloc::alloc,alloc__alloc__alloc,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__alloc__alloc/summary.json
alloc::alloc::alloc_zeroed,alloc__alloc__alloc_zeroed,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__alloc__alloc_zeroed/summary.json
alloc::alloc::dealloc,alloc__alloc__dealloc,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__alloc__dealloc/summary.json
alloc::alloc::handle_alloc_error,alloc__alloc__handle_alloc_error,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__alloc__handle_alloc_error/summary.json
alloc::alloc::realloc,alloc__alloc__realloc,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__alloc__realloc/summary.json
alloc::borrow::Cow::into_owned,alloc__borrow__Cow__into_owned,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__borrow__Cow__into_owned/summary.json
alloc::borrow::Cow::to_mut,alloc__borrow__Cow__to_mut,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__borrow__Cow__to_mut/summary.json
alloc::borrow::ToOwned::clone_into,alloc__borrow__ToOwned__clone_into,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__borrow__ToOwned__clone_into/summary.json
alloc::borrow::ToOwned::to_owned,alloc__borrow__ToOwned__to_owned,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__borrow__ToOwned__to_owned/summary.json
alloc::boxed::Box::as_mut_ptr,alloc__boxed__Box__as_mut_ptr,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__boxed__Box__as_mut_ptr/summary.json
